teamNumber,points
1023,0
1024,0
11,0
111,0
118,0
1561,0
1646,0
1690,0
1706,0
1731,0
1732,0
1746,0
180,0
1923,0
195,0
1987,0
2056,0
226,0
2338,0
234,0
245,0
2468,0
2481,0
2539,0
2614,0
2767,0
2910,0
3175,0
3176,0
3184,0
325,0
33,0
3357,0
3538,0
3641,0
3655,0
3683,0
384,0
3940,0
4028,0
4039,0
4096,0
4143,0
4270,0
4272,0
4499,0
4607,0
461,0
4635,0
4678,0
469,0
5010,0
51,0
5166,0
5460,0
5484,0
5712,0
587,0
5907,0
6045,0
6081,0
695,0
7211,0
7457,0
7617,0
7890,0
818,0
930,0
9312,0
