teamNumber,points
1619,52
195,52
118,44
2590,44
2767,44
1710,36
2056,36
2337,36
3452,36
2122,34
1114,33
1018,28
340,28
2451,27
1885,26
2481,26
33,25
3847,25
125,24
5406,24
225,23
4272,22
1732,20
469,19
2168,18
4028,18
384,17
1746,16
2614,11
365,10
292,9
910,8
1024,0
107,0
1080,0
1477,0
1506,0
1511,0
1640,0
1675,0
1676,0
1720,0
1806,0
191,0
1987,0
2137,0
2169,0
217,0
2194,0
234,0
2468,0
2791,0
2832,0
3478,0
3824,0
4039,0
4143,0
4188,0
4206,0
4265,0
4587,0
48,0
4967,0
503,0
51,0
5842,0
67,0
829,0
