teamNumber,points
180,53
2056,53
4099,45
1706,44
33,44
3357,37
5712,36
3538,33
2767,32
4635,32
27,31
118,29
1533,28
4499,28
67,28
195,27
1023,25
4028,25
1339,24
2075,24
5406,24
624,21
2468,20
2539,20
1732,17
4143,17
340,16
7457,16
1987,13
2363,12
3175,9
1730,8
1024,0
1720,0
2338,0
234,0
2614,0
3176,0
325,0
3940,0
4265,0
4926,0
5010,0
503,0
5484,0
587,0
694,0
829,0
