teamNumber,normalizedEpa
67,1899
27,1890
2056,1873
118,1863
624,1861
2767,1850
180,1815
1706,1813
33,1812
2075,1781
4499,1777
1339,1771
5406,1771
2363,1770
694,1768
2614,1767
1732,1766
4028,1763
3538,1753
2468,1740
3357,1738
340,1735
4635,1735
7457,1732
1023,1726
503,1724
1987,1722
3940,1721
195,1720
5712,1720
4143,1719
4265,1711
2338,1693
587,1692
1533,1690
1730,1673
2539,1669
3176,1664
3175,1663
4926,1656
4099,1639
325,1619
1024,1595
829,1595
5010,1581
5484,1579
234,1569
1720,1488
