teamNumber,points2017,epa2017,opr2017
1619,52,1836,139.44
195,52,1971,145.98
118,44,1972,106.13
2590,44,1713,100.91
2767,44,1731,132.7
1710,36,1576,65.4
2056,36,2070,152.15
2337,36,1574,131.1
3452,36,1782,106.9
2122,34,1829,128.83
1114,33,1907,147.58
1018,28,1858,93.4
340,28,1718,120.88
2451,27,1581,117.11
1885,26,1781,91.73
2481,26,1882,114.63
33,25,1959,110.2
3847,25,1561,104.35
125,24,1883,154.56
5406,24,1727,99.19
225,23,1731,100.92
4272,22,1676,137.73
1732,20,1779,95.59
469,19,1739,122.45
2168,18,1864,109.89
4028,18,1694,132.27
384,17,1619,115.8
1746,16,1743,96.82
2614,11,1643,104.89
365,10,1828,107.02
292,9,1631,94.89
910,8,1612,80.46
1024,0,1639,133.3
107,0,1641,133.05
1080,0,1560,108.16
1477,0,1647,59.51
1506,0,1699,62.66
1511,0,1563,94.51
1640,0,1591,75.79
1675,0,1583,95.29
1676,0,1698,117.36
1720,0,1630,80.07
1806,0,1708,105.7
191,0,1604,89.22
1987,0,1611,119.78
2137,0,1623,103.56
2169,0,1743,133.1
217,0,1675,88.23
2194,0,1709,86.44
234,0,1582,130.79
2468,0,1535,93.79
2791,0,1610,107.38
2832,0,1703,99.17
3478,0,1633,107.99
3824,0,1708,124.68
4039,0,1619,116.88
4143,0,1778,93.85
4188,0,1611,85.7
4206,0,1755,108.26
4265,0,1653,79.52
4587,0,1675,94.94
48,0,1553,81.86
4967,0,1715,120.33
503,0,1593,97.53
51,0,1745,105.93
5842,0,1697,71.64
67,0,1836,78.32
829,0,1771,92.91
