teamNumber,points2018,epa2018,opr2018
195,54,1886,189.6
2056,54,1967,215.61
2168,46,1766,123.79
225,38,1839,137.11
340,38,1815,129.68
1024,36,1721,145.33
118,33,1897,106.53
2614,32,1778,169.61
3357,32,1835,113.23
2771,31,1668,119.45
1619,30,1800,145.35
2590,30,1886,121.5
217,29,1822,112.94
319,29,1815,170.83
33,28,1713,132.86
4028,28,1745,158.86
5406,27,1841,123.91
1747,25,1802,92.06
302,24,1741,109.65
3538,24,1804,131.94
2481,22,1886,115.34
868,22,1737,101.3
1533,21,1743,95.67
3707,21,1841,140.84
2337,20,1802,117.47
4587,17,1697,108.7
1706,16,1759,89.24
2655,16,1665,134.79
133,14,1818,105.37
494,13,1759,123.49
1640,12,1746,111.81
67,8,1765,143.72
1102,0,1709,81.13
1218,0,1678,107.8
1710,0,1620,124.13
1720,0,1560,29.63
1731,0,1706,98.93
1741,0,1716,77.7
1746,0,1651,104.74
1806,0,1726,120.04
20,0,1651,109.36
2013,0,1704,53.61
234,0,1737,132.04
2363,0,1592,49.38
245,0,1628,126.76
2451,0,1705,118.02
2468,0,1623,47.91
2791,0,1758,91.26
2826,0,1654,92.73
2834,0,1703,92.84
3452,0,1777,109.48
3478,0,1821,97.13
359,0,1725,99.76
3641,0,1725,118.01
384,0,1717,97.33
3847,0,1632,112.92
3940,0,1618,69.62
4265,0,1684,123.53
4499,0,1604,90.52
469,0,1605,137.96
4944,0,1668,97.71
4967,0,1618,86.3
5254,0,1648,126.54
624,0,1795,87.81
6800,0,1627,83.86
694,0,1896,161.75
708,0,1631,134.73
829,0,1616,47.67
865,0,1710,129.0
88,0,1643,125.37
